business_id,name,latitude,longitude
5744,Fun Food Partners - Aunt Fanny's,37.6688,-122.409
35425,LOCAL KITCHEN & WINE MERCHANT,37.6817,-122.481
4592,E-Z STOP MARKET,37.7084,-122.42
4798,M & M SHORTSTOP,37.7084,-122.42
2840,THE OLYMPIC CLUB AT LAKESIDE,37.7089,-122.498
2841,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",37.7089,-122.498
32818,Quality Gas For Your Car Arco AM/PM,37.7089,-122.453
3256,"Connection, The",37.7097,-122.45
4859,7-ELEVEN STORE 2230-23342E,37.7097,-122.458
7532,LOWELL MARKET,37.7097,-122.446
615,J & A RESTAURANT,37.7099,-122.45
5955,SF CHRISTIAN DAY SCHOOL,37.7099,-122.448
61915,La Loma Produce Nos. 3 & 9 Inc,37.7107,-122.448
13427,Extreme Pizza,37.7112,-122.468
33914,Subway 30303,37.7112,-122.468
1788,EXECUTIVE CAFE,37.7113,-122.393
3253,S F GOLF CLUB,37.7113,-122.471
4952,CHEVRON STATIONS INC. #1727,37.7116,-122.456
69317,New Casa Maria Produce Market #2,37.7117,-122.405
7617,LITTLE VILLAGE MARKET,37.7119,-122.416
63780,Taqueria El Buen Sabor #2,37.7119,-122.405
7643,PACIFIC SUPER MARKET,37.7121,-122.452
11687,MARTHA & BROTHERS,37.7121,-122.455
36570,"7-Eleven, Store 2366-21389F",37.7122,-122.403
2785,G & L RESTAURANT,37.7125,-122.407
66700,Brother's Market,37.7126,-122.445
4588,PICCOLO PETES,37.7127,-122.401
5258,IBERIA CATERING,37.7127,-122.451
385,REINA RESTAURANT,37.7129,-122.444
71131,Rico Pan,37.7129,-122.445
4849,FAMILY MARKET,37.7132,-122.459
7295,RC PACKAGE HOUSE,37.7132,-122.456
65350,Cordova Market,37.7134,-122.436
993,CHICK-N-DELI,37.7137,-122.444
5948,BRANDEIS-HILLEL DAY SCHOOL,37.7139,-122.475
4016,GENEVA PUB,37.7142,-122.436
4685,NORMAN'S LIQUOR & DELI,37.7142,-122.469
58922,Naples Pizzarella,37.7143,-122.437
4184,GLENEAGLES GOLF COURSE AT M P,37.7144,-122.424
5260,ARMENIA N COMMUNITY CTR,37.7144,-122.477
34102,The Broken Record,37.7144,-122.437
505,Quickly,37.7145,-122.443
6833,United Liquor Market,37.7147,-122.443
65137,Martita Restaurant,37.7148,-122.442
194,BAYSIDE COFFEE SHOP,37.7151,-122.399
62573,"Guzman's Produce Market, Inc.",37.7151,-122.442
7618,TEDDY GROCERY,37.7152,-122.409
61016,Pupuseria El Golazo,37.7153,-122.432
7778,PAN LIDO SALVADORENO #2 INC.,37.7154,-122.442
1994,EL POLLO SUPREMO,37.7155,-122.442
